timestamp,z_axis
0,0.0553
10,0.0305
20,-0.0373
30,-0.0234
40,0.0468
50,0.0979
60,0.0845
70,-0.0045
80,-0.0078
90,-0.0411
100,0.0443
110,0.036
120,-0.0504
130,-0.0755
140,0.0728
150,0.0533
160,-0.0151
170,-0.0012
180,-0.018
190,0.0901
200,0.0486
210,0.0771
220,-0.0249
230,0.0136
240,0.0247
250,-0.0337
260,-0.0708
270,-0.082
280,0.0992
290,-0.0126
300,0.0552
310,-0.0862
320,-0.0902
330,-0.0765
340,0.0781
350,-0.0145
360,-0.0123
370,-0.0648
380,0.0547
390,0.0204
400,-0.0626
410,0.0993
420,0.0024
430,0.0773
440,-0.0054
450,-0.0212
460,0.0657
470,0.082
480,0.0553
490,0.0675
500,-0.0006
510,0.0605
520,-0.0337
530,-0.0707
540,-0.049
550,-0.0817
560,0.0135
570,0.0529
580,0.0297
590,-0.0786
600,-0.0484
610,0.0342
620,-0.0562
630,0.0135
640,0.0914
650,0.0972
660,0.0125
670,-0.0462
680,0.0092
690,0.0266
700,-0.0519
710,-0.0075
720,-0.0545
730,-0.0103
740,0.0489
750,-0.0067
760,0.0093
770,0.049
780,0.0341
790,-0.078
800,0.0703
810,-0.0414
820,0.0447
830,0.0697
840,-0.0536
850,-0.0347
860,-0.0692
870,-0.0307
880,0.0002
890,-0.0753
900,0.0883
910,-0.0293
920,-0.0584
930,0.0885
940,-0.0037
950,0.0951
960,-0.0383
970,-0.0185
980,0.0581
990,0.0729
1000,0.0714
1010,-0.0867
1020,0.0235
1030,0.0422
1040,0.0614
1050,-0.0696
1060,0.043
1070,0.0587
1080,0.0612
1090,0.0044
1100,0.0183
1110,-0.0423
1120,-0.0324
1130,0.06
1140,0.043
1150,-0.0773
1160,-0.031
1170,-0.0573
1180,-0.0993
1190,0.0747
1200,-0.0355
1210,0.0474
1220,-0.0724
1230,-0.0451
1240,0.0935
1250,0.0458
1260,0.0141
1270,0.0084
1280,-0.0447
1290,-0.0455
1300,0.0263
1310,-0.013
1320,0.0359
1330,0.0172
1340,0.0541
1350,-0.0195
1360,0.0386
1370,0.0451
1380,-0.0148
1390,-0.0381
1400,0.0513
1410,0.0847
1420,0.0506
1430,0.0311
1440,0.0266
1450,-0.0757
1460,-0.0776
1470,0.0578
1480,0.0727
